paperId,url,title,citationCount,isOpenAccess,fieldsOfStudy,tldr,description_cleaned,created
19b604c4e00c43cfd916603d20b2532ccb2896ea,https://www.semanticscholar.org/paper/19b604c4e00c43cfd916603d20b2532ccb2896ea,Carbon Capture From Flue Gas and the Atmosphere: A Perspective,83,True,,,"Climate change has become a worldwide concern with the rapid rise of the atmospheric Co2 concentration. To mitigate Co2 emissions, the research and development efforts in Co2 capture and separation both from the stationary sources with high Co2 concentrations (e.g., coal-fired power plant flue gas) and directly from the atmosphere have grown significantly. Much progress has been achieved, especially within the last twenty years. In this perspective, we first briefly review the current status of carbon capture technologies including absorption, adsorption, membrane, biological capture, and cryogenic separation, and compare their advantages and disadvantages. Then, we focus mainly on the recent advances in the absorption, adsorption, and membrane technologies. Even though numerous optimizations in materials and processes have been pursued, implementing a single separation process is still quite energy-intensive or costly. To address the challenges, we provide our perspectives on future directions of Co2 capture research and development, that is, the combination of flue gas recycling and hybrid capture system, and one-step integrated Co2 capture and conversion system, as they have the potential to overcome the technical bottlenecks of single capture technologies, offering significant improvement in energy efficiency and cost-effectiveness.",2020
7cb3034e94dce60304b7890b0e47786f1f1538e0,https://www.semanticscholar.org/paper/7cb3034e94dce60304b7890b0e47786f1f1538e0,Progress in carbon capture technologies.,191,False,"Medicine, Environmental Science","{'model': 'tldr@v2.0.0', 'text': 'This review presents a thorough investigation of the various technologies that can be harnessed to capture carbon dioxide and the cost associated with the capture, transport, and storage of the carbon dioxide.'}",,2020
054fa9dd6cd640002c9ffcd1292ac14b9840db6b,https://www.semanticscholar.org/paper/054fa9dd6cd640002c9ffcd1292ac14b9840db6b,Carbon Capture and Utilization by mineralization of cement pastes derived from recycled concrete,69,True,"Environmental Science, Medicine","{'model': 'tldr@v2.0.0', 'text': 'It is shown that all CO 2 originally released by limestone calcination during clinker production can be sequestered by the full carbonation of the fines within a short time and have specific CO 2 savings more than 30% higher than the simple clinker replacement by limestone.'}",,2020
d3b50f8169f7a2316eacd443038e916fb5bb0193,https://www.semanticscholar.org/paper/d3b50f8169f7a2316eacd443038e916fb5bb0193,"Ionic liquids, deep eutectic solvents and liquid polymers as green solvents in carbon capture technologies: a review",72,False,Materials Science,,,2020
cfa569019717301c352aabec292a8f4d3a261553,https://www.semanticscholar.org/paper/cfa569019717301c352aabec292a8f4d3a261553,Performance-Based Screening of Porous Materials for Carbon Capture,67,False,"Medicine, Physics, Materials Science","{'model': 'tldr@v2.0.0', 'text': 'The objective of this work is to review the current status of this new approach to multiscale screening, discuss its potential and impact on the field of materials screening, and highlight the challenges that limit its application.'}","Computational screening methods have changed the way new materials and processes are discovered and designed. For adsorption-based gas separations and carbon capture, recent efforts have been directed toward the development of multiscale and performance-based screening workflows where we can go from the atomistic structure of an adsorbent to its equilibrium and transport properties at different scales, and eventually to its separation performance at the process level. The objective of this work is to review the current status of this new approach, discuss its potential and impact on the field of materials screening, and highlight the challenges that limit its application. We compile and introduce all the elements required for the development, implementation, and operation of multiscale workflows, hence providing a useful practical guide and a comprehensive source of reference to the scientific communities who work in this area. Our review includes information about available materials databases, state-of-the-art molecular simulation and process modeling tools, and a complete catalogue of data and parameters that are required at each stage of the multiscale screening. We thoroughly discuss the challenges associated with data availability, consistency of the models, and reproducibility of the data and, finally, propose new directions for the future of the field.",2020
620999ecca4608a89bd69cbe97ab752ce1e62161,https://www.semanticscholar.org/paper/620999ecca4608a89bd69cbe97ab752ce1e62161,Hydrogen production from natural gas and biomethane with carbon capture and storage – A techno-environmental analysis,89,True,Environmental Science,,"This study presents an integrated techno-environmental assessment of hydrogen production from natural gas and biomethane, combined with CO2 capture and storage (CCS). We have included steam methane reforming (SMR) and autothermal reforming (ATR) for syngas production. CO2 is captured from the syngas with a novel vacuum pressure swing adsorption (VPSA) process, that combines hydrogen purification and CO2 separation in one cycle. As comparison, we have included cases with conventional amine-based technology. We have extended standard attributional Life Cycle Assessment (LCA) following ISO standards with a detailed carbon balance of the biogas production process (via digestion) and its by-products. The results show that the life-cycle greenhouse gas (GHG) performance of the VPSA and amine-based CO2 capture technologies is very similar as a result of comparable energy consumption. The configuration with the highest plant-wide CO2 capture rate (almost 100% of produced CO2 captured) is autothermal reforming with a two-stage water-gas shift and VPSA CO2 capture – because the latter has an inherently high CO2 capture rate of 98% or more for the investigated syngas. Depending on the configuration, the addition of CCS to natural gas reforming-based hydrogen production reduces its life-cycle Global Warming Potential by 45–85 percent, while the other environmental life-cycle impacts slightly increase. This brings natural gas-based hydrogen on par with renewable electricity-based hydrogen regarding impacts on climate change. When biomethane is used instead of natural gas, our study shows potential for net negative greenhouse gas emissions, i.e. the net removal of CO2 over the life cycle of biowaste-based hydrogen production. In the special case where the biogas digestate is used as agricultural fertiliser, and where a substantial amount of the carbon in the digestate remains in the soil, the biowaste-based hydrogen reaches net-negative life cycle greenhouse gas emissions even without the application of CCS. Addition of CCS to biomethane-based hydrogen production leads to net-negative emissions in all investigated cases.",2020
eff38e9fd207de2256d78aa3a1a8bfba019095c5,https://www.semanticscholar.org/paper/eff38e9fd207de2256d78aa3a1a8bfba019095c5,Hydrological limits to carbon capture and storage,43,True,Environmental Science,,,2020
65edec1eed534fb0b88c5d1a9f829bf00303b454,https://www.semanticscholar.org/paper/65edec1eed534fb0b88c5d1a9f829bf00303b454,Atmospheric CO2 mitigation technologies: carbon capture utilization and storage,118,False,Environmental Science,,,2020
032b4c8ab4fed659a272afa49b821b4c6e6c19b1,https://www.semanticscholar.org/paper/032b4c8ab4fed659a272afa49b821b4c6e6c19b1,"China's carbon capture, utilization and storage (CCUS) policy: A critical review",113,True,Business,,,2020
76a20bec8e313ced0faf8010e6ecbe3965a9e305,https://www.semanticscholar.org/paper/76a20bec8e313ced0faf8010e6ecbe3965a9e305,"Mineralization Technology for Carbon Capture, Utilization, and Storage",30,True,Environmental Science,,"Carbon capture, utilization, and storage (CCUS) is a technology approach to the management of anthropogenic carbon dioxide gas emissions to the atmosphere. By injecting CO2 into host rocks, or by employing a an ex situ application step, geological formations can react with and store huge volumes of CO2 as carbonate minerals. An alternative mineral feedstock material is the Gt of industrial process wastes that are often disposed to landfill. By applying an accelerated carbonation step to solid waste, there is potential to sequestrate meaningful quantities of CO2 in carbonate-cemented products that have reuse potential. The manufacture of carbonated aggregates is commercially established in Europe, and recent advances in technology include a mobile plant that directly utilizes flue-gas derived CO2 in the mineralisation process. The present work discusses the basis for mineralization in geologically derived minerals and industrial wastes, with a focus being on the manufacture of products with value. An assessment of mineralized construction aggregates suggests that carbon capture, utilization, and storage technology can manage significant quantities of this CO2.",2020
cb6524d36de77775de630af0541f1d2b1291d449,https://www.semanticscholar.org/paper/cb6524d36de77775de630af0541f1d2b1291d449,Post-combustion carbon capture,99,True,Materials Science,,,2020
7a2197144b3a1567e814ea35fd73bd85a698681f,https://www.semanticscholar.org/paper/7a2197144b3a1567e814ea35fd73bd85a698681f,In silico discovery of covalent organic frameworks for carbon capture.,29,False,"Medicine, Materials Science","{'model': 'tldr@v2.0.0', 'text': 'A genetic algorithm is developed to tune the charge equilibration method and derive accurate framework partial charges and the effect of pore topology on carbon capture performance in order to guide development of improved carbon capture materials.'}","We screen a database of more than 69,000 hypothetical covalent organic frameworks (COFs) for carbon capture, using parasitic energy as a metric. In order to compute CO2-framework interactions in molecular simulations, we develop a genetic algorithm to tune the charge equilibration method and derive accurate framework partial charges. Nearly 400 COFs are identified with parasitic energy lower than that of an amine scrubbing process using monoethanolamine; over 70 are better performers than the best experimental COFs; and several perform similarly to Mg-MOF-74. We analyze the effect of pore topology on carbon capture performance in order to guide development of improved carbon capture materials.",2020
507d14b47be91a28768c5359149d7b335ddaa38a,https://www.semanticscholar.org/paper/507d14b47be91a28768c5359149d7b335ddaa38a,"Advances in carbon capture, utilization and storage",77,False,Environmental Science,,,2020
62519425cbe4ca9578c88b21c57553b3fd5783bb,https://www.semanticscholar.org/paper/62519425cbe4ca9578c88b21c57553b3fd5783bb,"Comparative Economic Analysis of Physical, Chemical, and Hybrid Absorption Processes for Carbon Capture",27,False,Environmental Science,,"Due to the variability of CO₂ emission sources, proper selection of viable and cost-effective technology for carbon capture is highly critical. In this work, a comparative economic analysis of physical, chemical, and hybrid physical–chemical absorption processes is performed to guide the selection of appropriate carbon capture technologies for different types of CO₂ sources. First, three different absorption processes are designed and simulated for treating various industrial CO₂-containing gases with distinct pressures and CO₂ concentrations. Then, the total annualized costs of the processes are calculated and compared. It is found that for carbon capture at atmospheric pressure, chemical absorption exhibits the highest performance for low CO₂ concentrations ( 59.3%). For treating high-pressure CO₂-containing gases (e.g., precombustion carbon capture), the hybrid physical–chemical absorption process is economically preferred.",2020
57eec80dc233eb48b42b6ef4299acbc565a32f72,https://www.semanticscholar.org/paper/57eec80dc233eb48b42b6ef4299acbc565a32f72,Overview of Carbon Capture Technology: Microalgal Biorefinery Concept and State-of-the-Art,123,True,Environmental Science,,"The impending danger of climate change and pollution can now be seen on the world panorama. The concentration of CO2, the most important Green House Gas (GHG), has reached to formidable levels. Although carbon capture and storage (CCS) methods have been largely worked upon, they are cumbersome in terms of economy and their long term environmental safety raises a concern. Alternatively, bio-sequestration of CO2 using microalgal cell factories has emerged as a promising way of recycling CO2 into biomass via photosynthesis which in turn could be used for the production of bioenergy and other value-added products. Despite enormous potential, the production of microalgae for low-value bulk products and bulk products such as biofuels, is heretofore, not feasible. To achieve economic viability and sustainability, major hurdles in both, the upstream and downstream processes have to be overcome. Recent technoeconomic analyses and life-cycle assessments of microalgae-based production systems have suggested that the only possible way for scaling up the production is to completely use the biomass in an integrated biorefinery set-up wherein every valuable component is extracted, processed and valorized. This article provides a brief yet comprehensive review of the present carbon sequestration and utilization technologies, focusing primarily on biological CO2 capture by microalgae in the context of bio-refinery. The paper discusses various products of microalgal biorefinery and aims to assess the opportunities, challenges and current state-of-the-art of microalgae-based CO2 bioconversion, which are essential to the sustainability of this approach in terms of the environment as well as the economy.",2019
13a8a32757a48d099c2c69a75224e86d44dc3432,https://www.semanticscholar.org/paper/13a8a32757a48d099c2c69a75224e86d44dc3432,Evolution in the membrane-based materials and comprehensive review on carbon capture and storage in industries,21,False,Environmental Science,,,2020
fce8b7e6cd86d8a8dfe1b9d1b409d7e4c25e0edc,https://www.semanticscholar.org/paper/fce8b7e6cd86d8a8dfe1b9d1b409d7e4c25e0edc,"Post-combustion carbon capture by membrane separation, Review",76,False,Environmental Science,,,2020
9b35675931af8a9b56d0403a3971a667c7e5575b,https://www.semanticscholar.org/paper/9b35675931af8a9b56d0403a3971a667c7e5575b,Fuel cells for carbon capture applications.,69,False,Medicine,"{'model': 'tldr@v2.0.0', 'text': 'This review present a brief background about carbon capture and storage techniques and the technological advancement related to carbon dioxide captured by differentfuel cells, including molten carbonate fuel cells, solid oxide fuel cells), and algae-based fuel cells.'}",,2020
e1e15aa932ac61efa8bb0c5cc99cfe6521458861,https://www.semanticscholar.org/paper/e1e15aa932ac61efa8bb0c5cc99cfe6521458861,Carbon capture and storage update,1554,False,Environmental Science,,"In recent years, Carbon Capture and Storage (Sequestration) (CCS) has been proposed as a potential method to allow the continued use of fossil-fuelled power stations whilst preventing emissions of CO2 from reaching the atmosphere. Gas, coal (and biomass)-fired power stations can respond to changes in demand more readily than many other sources of electricity production, hence the importance of retaining them as an option in the energy mix. Here, we review the leading CO2 capture technologies, available in the short and long term, and their technological maturity, before discussing CO2 transport and storage. Current pilot plants and demonstrations are highlighted, as is the importance of optimising the CCS system as a whole. Other topics briefly discussed include the viability of both the capture of CO2 from the air and CO2 reutilisation as climate change mitigation strategies. Finally, we discuss the economic and legal aspects of CCS.",2014
1f61df1af871412b52c5fc38902854fbede1a703,https://www.semanticscholar.org/paper/1f61df1af871412b52c5fc38902854fbede1a703,Forest Contribution to Climate Change Mitigation: Management Oriented to Carbon Capture and Storage,46,True,Environmental Science,,"Today, climate change is assumed by many researchers and scholars as a certainty and is presented as the biggest challenge humanity has ever faced. It is commonly accepted that anthropogenic greenhouse gas emissions are the main cause that is accelerating the process. Therefore, it is urgent to find solutions to mitigate climate change, mainly because the intense effects have already been felt, in many cases in the form of the occurrence of extremely violent weather events. Forests are undoubtedly one of the most effective and easiest ways to provide the function of carbon sinks. However, it is essential and convenient to analyze the permanence time of this carbon in forests, because this permanence time depends directly on the forest management model used. This article aims to analyze forest management models from the perspective of carbon residence time in temperate forests, dividing the models into three types, namely carbon conservation models, carbon storage models, and carbon substitution models, according to their ability to contribute to functioning as carbon sinks, thereby contributing to the mitigation of climate change.",2020
3f5bb3499d220af8edd68577d6a5272176a5cda1,https://www.semanticscholar.org/paper/3f5bb3499d220af8edd68577d6a5272176a5cda1,Carbon Capture and Conversion.,57,True,"Chemistry, Medicine",,,2020
a3d62edc456aa7352bd271cba83aca0edf241111,https://www.semanticscholar.org/paper/a3d62edc456aa7352bd271cba83aca0edf241111,Comparative net energy analysis of renewable electricity and carbon capture and storage,108,True,Environmental Science,,,2019
6901beee29fd0c97005ff92a7aefc5c70d19aab5,https://www.semanticscholar.org/paper/6901beee29fd0c97005ff92a7aefc5c70d19aab5,Negative emissions technologies and carbon capture and storage to achieve the Paris Agreement commitments,188,True,"Environmental Science, Medicine","{'model': 'tldr@v2.0.0', 'text': 'A new analysis of all global CCS projects and model the build rate out to 2050, deducing this is 100 times too slow, which means no CCS means no 2°C, and a first urgent action for all countries is to commercially assess their CO2 storage.'}","How will the global atmosphere and climate be protected? Achieving net-zero CO2 emissions will require carbon capture and storage (CCS) to reduce current GHG emission rates, and negative emissions technology (NET) to recapture previously emitted greenhouse gases. Delivering NET requires radical cost and regulatory innovation to impact on climate mitigation. Present NET exemplars are few, are at small-scale and not deployable within a decade, with the exception of rock weathering, or direct injection of CO2 into selected ocean water masses. To keep warming less than 2°C, bioenergy with CCS (BECCS) has been modelled but does not yet exist at industrial scale. CCS already exists in many forms and at low cost. However, CCS has no political drivers to enforce its deployment. We make a new analysis of all global CCS projects and model the build rate out to 2050, deducing this is 100 times too slow. Our projection to 2050 captures just 700 Mt CO2 yr−1, not the minimum 6000 Mt CO2 yr−1 required to meet the 2°C target. Hence new policies are needed to incentivize commercial CCS. A first urgent action for all countries is to commercially assess their CO2 storage. A second simple action is to assign a Certificate of CO2 Storage onto producers of fossil carbon, mandating a progressively increasing proportion of CO2 to be stored. No CCS means no 2°C. This article is part of the theme issue ‘The Paris Agreement: understanding the physical and social challenges for a warming world of 1.5°C above pre-industrial levels'.",2018
816a28470df9ea3e60ba8f6924e9b2eeee20e654,https://www.semanticscholar.org/paper/816a28470df9ea3e60ba8f6924e9b2eeee20e654,Wastewater treatment for carbon capture and utilization,184,False,Environmental Science,,,2018
7bb530adabf37316089b13690cf060c1b156b787,https://www.semanticscholar.org/paper/7bb530adabf37316089b13690cf060c1b156b787,Framing effects on public support for carbon capture and storage,71,True,Business,,,2019
9308b1d5019588e96d23b401d2f9df01df00d393,https://www.semanticscholar.org/paper/9308b1d5019588e96d23b401d2f9df01df00d393,Restricting Lattice Flexibility in Polycrystalline Metal–Organic Framework Membranes for Carbon Capture,81,False,"Medicine, Materials Science","{'model': 'tldr@v2.0.0', 'text': 'A novel postsynthetic rapid heat treatment (RHT), implemented in a few seconds at 360 °C, which drastically improves the carbon capture performance of the ZIF-8 membranes, is reported.'}","Although polycrystalline metal‐organic framework (MOF) membranes offer several advantages over other nanoporous membranes, thus far they have not yielded good CO2 separation performance, crucial for energy‐efficient carbon capture. ZIF‐8, one of the most popular MOFs, has a crystallographically determined pore aperture of 0.34 nm, ideal for CO2/N2 and CO2/CH4 separation; however, its flexible lattice restricts the corresponding separation selectivities to below 5. A novel postsynthetic rapid heat treatment (RHT), implemented in a few seconds at 360 °C, which drastically improves the carbon capture performance of the ZIF‐8 membranes, is reported. Lattice stiffening is confirmed by the appearance of a temperature‐activated transport, attributed to a stronger interaction of gas molecules with the pore aperture, with activation energy increasing with the molecular size (CH4 > CO2 > H2). Unprecedented CO2/CH4, CO2/N2, and H2/CH4 selectivities exceeding 30, 30, and 175, respectively, and complete blockage of C3H6, are achieved. Spectroscopic and X‐ray diffraction studies confirm that while the coordination environment and crystallinity are unaffected, lattice distortion and strain are incorporated in the ZIF‐8 lattice, increasing the lattice stiffness. Overall, RHT treatment is a facile and versatile technique that can vastly improve the gas‐separation performance of the MOF membranes.",2019
522986777b3989c34f0ea37a35e1c4f4fb3d65c8,https://www.semanticscholar.org/paper/522986777b3989c34f0ea37a35e1c4f4fb3d65c8,Carbon Capture and Utilization Technology without Carbon Dioxide Purification and Pressurization: A Review on Its Necessity and Available Technologies,73,False,"Chemistry, Environmental Science",,"Carbon capture and utilization (CCU) has attracted increased attention as a means to mitigate and adapt to climate change. CCU technology regards CO2 as a raw material and reduces CO2 emissions. However, purity and pressurization requirements in most CCU technologies are high. Flue gas that is emitted from industries and transportation requires advanced purification and pressurization, which limits the development and decreases the feasibility of CCU application. Hence, a new approach to CCU technology without CO2 purification and pressurization is desirable. This study reviews differences between the CO2 purity and pressure of waste CO2 and feedstock CO2, reviews difficulties of CO2 purification and pressurization in recent developments of CCU, and provides several promising examples of CCU technologies without CO2 pressurization and/or purification. Various promising CCU technologies and their future research prospects are discussed. Mineral carbonation and biological conversion appear to be possible so...",2019
3c87b0e4d3d93128fb6d425da491a7fea528b587,https://www.semanticscholar.org/paper/3c87b0e4d3d93128fb6d425da491a7fea528b587,Carbon capture and utilization technologies: a literature review and recent advances,175,False,Engineering,,"ABSTRACT This paper presents a comprehensive list of Carbon Capture and Utilization technologies and applications, ranging from lab-scale R&D activities reported in academic papers to commercially established uses of carbon dioxide. Carbon dioxide, as a source of carbon, has the potential to be used as a solvent, as a raw material in the manufacturing of fuels, carbonates, polymers, and chemicals, or as a recovery agent in techniques such as enhanced oil recovery or enhanced coal bed methane. In this paper, a literature review and recent advances of each technology are explained. To finish, most relevant Life Cycle Assessment studies carried out by experts in this field are included. Among the different alternatives studied for the use of carbon dioxide, the processes of carboxylation, consisting the synthesis of carbonates and carboxylates, have stood out. Both the production of salicylic acid as well as that of dimethyl carbonate and mineral carbonation are presented as the most likely applications of carbon dioxide, at least, in the short term.",2018
0ffa1b15908277b77ad7382c7b28f2e63226aabc,https://www.semanticscholar.org/paper/0ffa1b15908277b77ad7382c7b28f2e63226aabc,Consequential life cycle assessment of carbon capture and utilization technologies within the chemical industry,60,True,Environmental Science,,Carbon capture and utilization is recommendable within the chemical industry from an environmental perspective.,2019
12a27df31fd069ab0db9abcbd7776de7a6fee0eb,https://www.semanticscholar.org/paper/12a27df31fd069ab0db9abcbd7776de7a6fee0eb,The health and climate impacts of carbon capture and direct air capture,58,False,Environmental Science,,"Data from a coal with carbon capture and use (CCU) plant and a synthetic direct air carbon capture and use (SDACCU) plant are analyzed for the equipment's ability, alone, to reduce CO2.",2019
2b9bbadce98265af96d4e12f920a4891397040a9,https://www.semanticscholar.org/paper/2b9bbadce98265af96d4e12f920a4891397040a9,Outlook of carbon capture technology and challenges.,207,True,"Environmental Science, Medicine","{'model': 'tldr@v2.0.0', 'text': 'An evaluation of state-of-the-art technologies used in the capturing CO2 including post-combustion, pre-combUSTion, and oxy - combustion are reviewed and compared.'}",,2019
